source;target;pre_link;post_link
8924;8912;1;1
58429;8912;1;1
79664;8912;1;1
12951;8912;1;0
8910;8912;1;1
71889;8912;1;1
8917;8912;1;1
40062;8912;1;1
40083;8912;0;1
40073;8912;0;1
40074;8912;1;1
8908;8912;1;1
12937;8912;0;1
12930;8912;0;1
62161;8912;0;1
60797;8913;0;1
40079;8913;0;1
40074;8913;0;1
8914;8913;0;1
40066;8913;0;1
40059;8913;0;1
9780;8914;1;0
12931;8914;1;0
12929;8914;0;1
8912;8914;1;1
9781;8914;1;0
43127;8914;1;0
8916;8914;1;1
68096;8914;1;0
40070;8914;1;0
62161;8914;0;1
8910;8914;1;1
111483;8914;0;1
40074;8914;1;1
40062;8914;1;1
8908;8914;1;1
40068;8914;1;0
40066;8914;1;1
60797;8914;0;1
40079;8914;1;0
8913;8914;0;1
43126;8914;1;0
9777;8914;0;1
71132;8914;1;0
8909;8914;1;0
40079;8916;1;0
40074;8916;1;0
40066;8916;1;1
12931;8916;1;0
40080;8916;1;0
9781;8916;1;0
8909;8916;1;0
40065;8916;1;0
40071;8916;1;0
9780;8916;1;0
8914;8916;1;1
43127;8916;1;0
71132;8916;1;0
40083;8917;1;1
79804;8917;1;0
71889;8917;0;1
12934;8917;0;1
40068;8917;0;1
9781;8917;0;1
40062;8917;1;0
12923;8917;1;1
8922;8917;0;1
8912;8917;1;1
73991;8917;0;1
62161;8922;1;1
12923;8922;1;1
40068;8922;0;1
70411;8922;1;1
12934;8922;1;1
59662;8922;0;1
8924;8922;1;0
8923;8922;1;1
40083;8922;1;1
68096;8922;0;1
40063;8922;1;0
8917;8922;0;1
73991;8922;0;1
12930;8922;1;1
79664;8922;1;1
8910;8922;0;1
40070;8922;0;1
40086;8922;0;1
71889;8922;0;1
54384;8922;0;1
40073;8922;1;0
79804;8922;1;1
54384;8923;0;1
59662;8923;0;1
79804;8923;0;1
40086;8923;0;1
8922;8923;1;1
20522;8923;1;1
40068;8923;0;1
12930;8923;1;0
12934;8923;1;1
8910;8923;1;1
12921;8923;0;1
12951;8924;1;0
8922;8924;1;0
71889;8924;1;1
8912;8924;1;1
79664;8924;1;1
12923;8924;1;0
40069;8924;0;1
40073;8924;1;1
12930;8924;1;0
69531;8924;0;1
58429;8924;1;1
12937;8924;0;1
70411;8924;1;0
40083;8924;1;0
2698;8924;0;1
62161;8924;1;0
2694;8924;1;0
9542;9532;1;1
42875;9532;1;1
42865;9532;1;0
42893;9532;1;1
12951;9532;1;1
42878;9532;1;0
42887;9532;0;1
9541;9533;1;1
42866;9535;1;0
83580;9535;1;1
42897;9535;1;1
68223;9535;0;1
42893;9535;1;0
42874;9535;1;1
42895;9535;1;0
9542;9535;1;0
42879;9536;0;1
83578;9536;1;1
42894;9536;0;1
9541;9537;1;0
42866;9537;1;0
70430;9537;0;1
42874;9537;1;1
39075;9537;1;1
83580;9537;1;1
9538;9537;0;1
42897;9537;1;1
9539;9537;0;1
42886;9537;0;1
9542;9537;1;0
68223;9537;0;1
42893;9537;1;0
42885;9538;1;0
42886;9538;1;1
42888;9538;0;1
9539;9538;0;1
42884;9538;0;1
42868;9538;0;1
9537;9538;0;1
42874;9539;0;1
63462;9539;0;1
42886;9539;0;1
9537;9539;0;1
9538;9539;0;1
69637;9539;0;1
9533;9541;1;1
9537;9541;1;0
69531;9542;0;1
9537;9542;1;0
9535;9542;1;0
42875;9542;1;1
12951;9542;1;0
9532;9542;1;1
42893;9542;1;1
54365;9542;0;1
42895;9542;1;0
2698;9542;0;1
72308;9542;0;1
42873;9542;0;1
42865;9542;1;0
40074;9777;0;1
9781;9777;1;0
12929;9777;0;1
